ALDER;CIVILSTAND;KØN;TID;OMRÅDE;INDHOLD
I alt;Ugift;I alt;2008K4;København;315545
I alt;Ugift;I alt;2008K4;Aalborg;97764
I alt;Ugift;I alt;2008K4;Aarhus;167157
I alt;Ugift;I alt;2008K4;Esbjerg;53418
I alt;Ugift;I alt;2008K4;Odense;94613
I alt;Ugift;I alt;2008K4;Hele landet;2568255
I alt;Ugift;I alt;2009K4;København;324313
I alt;Ugift;I alt;2009K4;Aalborg;98430
I alt;Ugift;I alt;2009K4;Aarhus;171182
I alt;Ugift;I alt;2009K4;Esbjerg;53590
I alt;Ugift;I alt;2009K4;Odense;95326
I alt;Ugift;I alt;2009K4;Hele landet;2588198
I alt;Ugift;I alt;2010K4;København;333929
I alt;Ugift;I alt;2010K4;Aalborg;99932
I alt;Ugift;I alt;2010K4;Aarhus;174263
I alt;Ugift;I alt;2010K4;Esbjerg;53834
I alt;Ugift;I alt;2010K4;Odense;96888
I alt;Ugift;I alt;2010K4;Hele landet;2610799
I alt;Ugift;I alt;2011K4;København;343028
I alt;Ugift;I alt;2011K4;Aalborg;102610
I alt;Ugift;I alt;2011K4;Aarhus;177817
I alt;Ugift;I alt;2011K4;Esbjerg;53959
I alt;Ugift;I alt;2011K4;Odense;98591
I alt;Ugift;I alt;2011K4;Hele landet;2634540
I alt;Ugift;I alt;2012K4;København;352000
I alt;Ugift;I alt;2012K4;Aalborg;104791
I alt;Ugift;I alt;2012K4;Aarhus;182021
I alt;Ugift;I alt;2012K4;Esbjerg;54083
I alt;Ugift;I alt;2012K4;Odense;100565
I alt;Ugift;I alt;2012K4;Hele landet;2657677
I alt;Ugift;I alt;2013K4;København;361813
I alt;Ugift;I alt;2013K4;Aalborg;107216
I alt;Ugift;I alt;2013K4;Aarhus;186302
I alt;Ugift;I alt;2013K4;Esbjerg;54093
I alt;Ugift;I alt;2013K4;Odense;102905
I alt;Ugift;I alt;2013K4;Hele landet;2681019
I alt;Ugift;I alt;2014K4;København;370940
I alt;Ugift;I alt;2014K4;Aalborg;109205
I alt;Ugift;I alt;2014K4;Aarhus;188896
I alt;Ugift;I alt;2014K4;Esbjerg;54417
I alt;Ugift;I alt;2014K4;Odense;104764
I alt;Ugift;I alt;2014K4;Hele landet;2709113
I alt;Ugift;I alt;2015K4;København;379545
I alt;Ugift;I alt;2015K4;Aalborg;111447
I alt;Ugift;I alt;2015K4;Aarhus;192023
I alt;Ugift;I alt;2015K4;Esbjerg;54692
I alt;Ugift;I alt;2015K4;Odense;106197
I alt;Ugift;I alt;2015K4;Hele landet;2744254
I alt;Ugift;I alt;2016K4;København;388897
I alt;Ugift;I alt;2016K4;Aalborg;113344
I alt;Ugift;I alt;2016K4;Aarhus;196339
I alt;Ugift;I alt;2016K4;Esbjerg;55007
I alt;Ugift;I alt;2016K4;Odense;108202
I alt;Ugift;I alt;2016K4;Hele landet;2780475
I alt;Ugift;I alt;2017K4;København;396546
I alt;Ugift;I alt;2017K4;Aalborg;114627
I alt;Ugift;I alt;2017K4;Aarhus;200256
I alt;Ugift;I alt;2017K4;Esbjerg;55025
I alt;Ugift;I alt;2017K4;Odense;109594
I alt;Ugift;I alt;2017K4;Hele landet;2806141
I alt;Ugift;I alt;2018K4;København;404978
I alt;Ugift;I alt;2018K4;Aalborg;116197
I alt;Ugift;I alt;2018K4;Aarhus;204915
I alt;Ugift;I alt;2018K4;Esbjerg;54995
I alt;Ugift;I alt;2018K4;Odense;111520
I alt;Ugift;I alt;2018K4;Hele landet;2827695
I alt;Ugift;I alt;2019K4;København;413168
I alt;Ugift;I alt;2019K4;Aalborg;118147
I alt;Ugift;I alt;2019K4;Aarhus;208510
I alt;Ugift;I alt;2019K4;Esbjerg;55041
I alt;Ugift;I alt;2019K4;Odense;112746
I alt;Ugift;I alt;2019K4;Hele landet;2845453
I alt;Ugift;I alt;2020K4;København;417782
I alt;Ugift;I alt;2020K4;Aalborg;120226
I alt;Ugift;I alt;2020K4;Aarhus;211863
I alt;Ugift;I alt;2020K4;Esbjerg;55161
I alt;Ugift;I alt;2020K4;Odense;113639
I alt;Ugift;I alt;2020K4;Hele landet;2859116
I alt;Gift/separeret;I alt;2008K4;København;130727
I alt;Gift/separeret;I alt;2008K4;Aalborg;72976
I alt;Gift/separeret;I alt;2008K4;Aarhus;99526
I alt;Gift/separeret;I alt;2008K4;Esbjerg;46048
I alt;Gift/separeret;I alt;2008K4;Odense;67609
I alt;Gift/separeret;I alt;2008K4;Hele landet;2191033
I alt;Gift/separeret;I alt;2009K4;København;133014
I alt;Gift/separeret;I alt;2009K4;Aalborg;73153
I alt;Gift/separeret;I alt;2009K4;Aarhus;100233
I alt;Gift/separeret;I alt;2009K4;Esbjerg;46159
I alt;Gift/separeret;I alt;2009K4;Odense;67662
I alt;Gift/separeret;I alt;2009K4;Hele landet;2193779
I alt;Gift/separeret;I alt;2010K4;København;135341
I alt;Gift/separeret;I alt;2010K4;Aalborg;72817
I alt;Gift/separeret;I alt;2010K4;Aarhus;100646
I alt;Gift/separeret;I alt;2010K4;Esbjerg;46143
I alt;Gift/separeret;I alt;2010K4;Odense;67492
I alt;Gift/separeret;I alt;2010K4;Hele landet;2191517
I alt;Gift/separeret;I alt;2011K4;København;136965
I alt;Gift/separeret;I alt;2011K4;Aalborg;72543
