address,price,areal,period
Augustvej 48,4690000,126,2
Aprilvej 103,5900000,199,11
Gladsaxe Møllevej 150B,3895000,122,34
Højvangen 6,6250000,143,55
Klintemarken 9,7495000,191,333
Juni Alle 140,4375000,134,1
Augustvej 53,4475000,120,1
Juni Alle 63,4395000,128,2185
Kildebakkegårds Alle 66E,3345000,85,1.1274
Lillegårds Alle 11,4300000,105,5
Blomstermarken 2,4995000,137,6
Indmarken 11,4995000,118,8
Aprilvej 127,4495000,141,10
Hvedemarken 26,4350000,72,12
Augustvej 58,4695000,144,15
Hvedemarken 18,5495000,89,15
Mars Alle 52 th,5375000,115,16
Augustvej 127,3795000,91,19
Kildekrogen 7,4250000,88,19
Septembervej 142,4850000,143,21
Mosevej 20,7995000,164,26
Oktobervej 47,4350000,104,29
Lykkens Minde 24,4150000,110,30208
Pilekrogen 7,3750000,93,33
Dådyrvej 4,5995000,176,33
Runebergs Alle 47,5995000,104,37
Højvangen 72,6495000,118,37
Kagsåvej 39B,4250000,131,43219
Aprilvej 40,5995000,143,43
Espevangen 6B,5495000,210,51212
Harald Hejns Alle 13,4850000,148,57
Rybjerg Alle 95,3998000,146,58
Karl Gjellerups Alle 9,4275000,142,64
Buddingevej 216,2975000,93,64
Lykkens Minde 20,4495000,128,70
Harald Hejns Alle 25,3249000,39,80213
Lykkens Minde 26,4245000,110,82168
Rybjerg Alle 9,2750000,139,82
Aprilvej 37,3795000,97,88
Buddinge Hovedgade 159 1,2595000,74,100
Nordfrontvej 12,3995000,152,101493
Kagsåvej 31A,3585000,104,108177
Udmarken 15,4495000,119,119195
Præstebrovej 44,4495000,165,121314
Kagsåvej 12,3345000,107,124
Karl Gjellerups Alle 21,5695000,104,128
Stavnsbjerg Alle 83,3695000,95,136
Blomstermarken 6,5495000,144,171
Harald Hejns Alle 26,3995000,138,191
Valdemars Alle 75,3250000,73,192
